X,Y,amenity,operator,name,drive_through,addr:country,addr:state,addr:street,brand,opening_hours,addr:housenumber,addr:city,addr:postcode,fee,indoor,atm,currency:USD,inside,website,wheelchair,language:en,language:es,man_made,max_transaction,min_transaction
-76.7222155,39.3734343,atm,1st Mariner Bank,,,,,,,,,,,,,,,,,,,,,,
-76.6350814,39.4602824,atm,1st Mariner Bank,,,,,,,,,,,,,,,,,,,,,,
-76.9544973,38.9661983,atm,Bank of America,ATM,,,,,,,,,,,,,,,,,,,,,
-76.4638852,39.370951,atm,Bank of America,,no,,,,,,,,,,,,,,,,,,,,
-76.6155152,39.3266061,atm,Bank of America,,yes,,,,,,,,,,,,,,,,,,,,
-76.7197909,39.3783529,atm,Bank of America,,,US,MD,,,,,,,,,,,,,,,,,,
-76.4659945,38.338129,atm,Bank of America,,,,,,,,,,,$2,,,,,,,,,,,
-76.9787265,38.8051098,atm,Bank of America,,,,,,,,,,,,,,,,,,,,,,
-76.9396912,38.9554138,atm,Bank of America,,,,,,,,,,,,,,,,,,,,,,
-76.938069,38.9807241,atm,Bank of America,,,,,,,,,,,,,,,,,,,,,,
-76.8083111,39.1466015,atm,Bank of America,,,,,,,,,,,,,,,,,,,,,,
-76.6207693,39.2895292,atm,Bank of America,,,,,,,,,,,,,,,,,,,,,,
-76.6153947,39.2949532,atm,Bank of America,,,,,,,,,,,,,,,,,,,,,,
-76.7759505,39.4177085,atm,Bank of America,,,,,,,,,,,,,,,,,,,,,,
-76.9730774,39.5633218,atm,BB&T,BB&T,yes,,,,,,,,,,,,,,,,,,,,
-76.7198756,39.3775182,atm,BB&T,,,US,MD,,,,,,,,,,,,,,,,,,
-77.0767641,38.9941259,atm,Chevy Chase Bank,Chevy Chase Bank,,,,,,,,,,,,,,,,,,,,,
-76.6598794,38.7190301,atm,Community Bank of the Chesapeake,,yes,,,,Community Bank of the Chesapeake,24/7,,,,,,,,,,,,,,,
-75.5544022,38.0658851,atm,First Shore Federal,,,,,,,,,,,,,,,,,,,,,,
-76.6092864,39.3266667,atm,iBankATM.con,,,,,,,,,,,,,,,,,,,,,,
-76.6550186,39.3701354,atm,Johns Hopkins Federal Credit Union,,,,,,,,,,,,,,,,,,,,,,
-76.9866696,39.263404,atm,M&T,,,,,,,,,,,,,,,,,,,,,,
-76.6601805,38.7160028,atm,M&T Bank,M & T Bank,,,,,M&T Bank,24/7,,,,,,,,,,,,,,,
-76.6345173,39.3567933,atm,M&T Bank,,no,,,,,,,,,,,,,,,,,,,,
-76.6102988,39.3639699,atm,M&T Bank,,yes,,,,,,,,,,,,,,,,,,,,
-76.7199846,39.3789521,atm,M&T Bank,,,US,MD,,,,,,,,,,,,,,,,,,
-75.0800962,38.3459547,atm,M&T Bank,,,,,Philadelphia Avenue,,,1515,,,,,,,,21842,,,,,,
-76.6121255,39.2816174,atm,M&T Bank,,,,,,M&T Bank,,,,,,,,,yes,,yes,,,,,
-76.8089801,39.441653,atm,M&T Bank,,,,,,,24/7,,,,,,,,,,,,,,,
-76.6191004,39.2866321,atm,M&T Bank,,,,,,,,,,,,,,,,,,,,,,
-76.7493747,39.3285416,atm,M&T Bank,,,,,,,,,,,,,,,,,,,,,,
-76.7247644,39.3784929,atm,M&T Bank,,,,,,,,,,,,,,,,,,,,,,
-76.6424089,39.4551479,atm,M&T Bank,,,,,,,,,,,,,,,,,,,,,,
-76.8116659,39.4052761,atm,M&T Bank,,,,,,,,,,,,,,,,,,,,,,
-77.1010686,39.0002635,atm,NIHFCU,,,,,,,,,,,,,,,,,,,,,,
-77.62698,39.3132445,atm,PNC,,yes,,,,,,,,,,,,yes,,,,,,,,
-77.2093652,39.0173592,atm,PNC Bank,,,,,,,,,,,,,,,,,,,,,,
-77.4197959,39.6138354,atm,PNC Bank,,,,,,,,,,,,,,,,,,,,,,
-75.073738,38.3672226,atm,SECU,,,,,,,,,,,,,,,,,,,,,,
-75.600735,38.3653732,atm,Shore Bank,,,,,,,,,,,,,,,,,,,,,,
-76.730716,39.3813812,atm,SunTrust,,,,,,,,,,,,,,,,,,,,,,
-76.5902104,38.5456752,atm,Sun Trust,,,US,,West Dares Beach Road,Sun Trust,24/7,,Prince Frederick,20678,,yes,,,,,,,,,,
-76.7226043,39.3784577,atm,Susquehanna Bank,,,US,MD,,,,,,,,,,,,,,,,,,
-76.7303601,39.1534735,atm,Tower Federal Credit Union,,,,,,,,,,,,,,,,,,,,,,
-76.6158669,39.2919997,atm,Triton,,,,,,,,,,,,,,,,,,,,,,
-76.7261274,39.3781392,atm,Wachovia,,,US,MD,,,,,,,,,,,,,,,,,,
-76.6187708,39.3069157,atm,Wells Fargo,,,,,,Wells Fargo,,,,,,,,,,,,,,,,
-76.7813804,39.4071216,atm,Wells Fargo Bank,Wells Fargo,no,,,,,,,,,,,,,,,,,,,,
-76.9869429,39.2649212,atm,,ATM,,,,,,,,,,,,,,,,,,,,,
-76.587837,38.5433936,atm,,Bank of America,,,,,,24/7,,,,,,,,,,,,,,,
-76.575555,39.280185,atm,,Bank of America,,,,,,24/7,,,,,,,,,,,,,,,
-76.5476089,38.9860125,atm,,Bank of America,,,,,,,,,,,,,,,,,,,,,
-77.095726,38.9817365,atm,,Bank of America,,,,,,,,,,,,,,,,,,,,,
-76.6148382,39.1917457,atm,,Bank of America,,,,,,,,,,,,,,,,,,,,,
-76.454756,39.353599,atm,,Bank of America,,,,,,,,,,,,,,,,,,,,,
-76.593681,39.2846433,atm,,Bank of America,,,,,,,,,,,,,,,,,,,,,
